"Eastern Date Hour","Zone Name","Zone PTID","TWI Zonal LBMP","TWI Zonal Losses","TWI Zonal Congestion","TWI Zonal Price Version"
"2016/01/01 06:00:00","GENESE","61753","2.53","-0.05","-1.03","4"
"2016/01/01 06:00:00","HUD VL","61758","9.98","0.14","-8.29","4"
"2016/01/01 06:00:00","LONGIL","61762","10.11","0.19","-8.36","4"
"2016/01/01 06:00:00","MHK VL","61756","3.19","0.04","-1.59","4"
"2016/01/01 06:00:00","MILLWD","61759","10.1","0.14","-8.4","4"
"2016/01/01 06:00:00","N.Y.C.","61761","10.06","0.14","-8.36","4"
"2016/01/01 06:00:00","NORTH","61755","1.51","-0.05","0","4"
"2016/01/01 06:00:00","WEST","61752","2.78","-0.08","-1.31","4"
"2016/01/01 07:00:00","CAPITL","61757","1.24","0.06","-0.2","4"
"2016/01/01 07:00:00","CENTRL","61754","1.01","0","-0.02","4"
"2016/01/01 07:00:00","DUNWOD","61760","1.22","0.08","-0.15","3"
"2016/01/01 07:00:00","GENESE","61753","0.96","-0.04","-0.02","3"
"2016/01/01 07:00:00","HUD VL","61758","1.22","0.08","-0.15","3"
"2016/01/01 07:00:00","LONGIL","61762","1.24","0.11","-0.15","3"
"2016/01/01 07:00:00","MHK VL","61756","1.04","0.03","-0.03","4"
"2016/01/01 07:00:00","MILLWD","61759","1.22","0.09","-0.15","3"
"2016/01/01 07:00:00","N.Y.C.","61761","1.22","0.09","-0.15","4"
"2016/01/01 07:00:00","NORTH","61755","0.96","-0.03","0","4"
"2016/01/01 07:00:00","WEST","61752","0.95","-0.06","-0.02","3"
"2016/01/01 08:00:00","CAPITL","61757","2.85","0.05","-1.94","4"
"2016/01/01 08:00:00","CENTRL","61754","1.08","0.01","-0.22","4"
"2016/01/01 08:00:00","DUNWOD","61760","2.38","0.08","-1.46","4"
"2016/01/01 08:00:00","GENESE","61753","1","-0.03","-0.18","4"
"2016/01/01 08:00:00","HUD VL","61758","2.37","0.07","-1.44","4"
"2016/01/01 08:00:00","LONGIL","61762","2.41","0.1","-1.46","4"
"2016/01/01 08:00:00","MHK VL","61756","1.15","0.03","-0.27","4"
"2016/01/01 08:00:00","MILLWD","61759","2.39","0.08","-1.46","4"
"2016/01/01 08:00:00","N.Y.C.","61761","2.39","0.08","-1.46","4"
"2016/01/01 08:00:00","NORTH","61755","0.83","-0.03","0","4"
"2016/01/01 08:00:00","WEST","61752","1.04","-0.04","-0.23","4"
"2016/01/01 09:00:00","CAPITL","61757","12.02","0.01","-11.87","4"
"2016/01/01 09:00:00","CENTRL","61754","1.51","0","-1.36","4"
"2016/01/01 09:00:00","DUNWOD","61760","9.05","0.01","-8.9","4"
"2016/01/01 09:00:00","GENESE","61753","1.24","0","-1.1","4"
"2016/01/01 09:00:00","HUD VL","61758","8.98","0.01","-8.83","4"
"2016/01/01 09:00:00","LONGIL","61762","9.06","0.02","-8.9","4"
"2016/01/01 09:00:00","MHK VL","61756","1.78","0","-1.63","4"
"2016/01/01 09:00:00","MILLWD","61759","9.11","0.01","-8.95","4"
"2016/01/01 09:00:00","N.Y.C.","61761","9.06","0.01","-8.9","4"
