"Eastern Date Hour","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2016/01/01 00:00:00","CAPITL","61757","30.19","0.69","-18.74","1"
"2016/01/01 00:00:00","CENTRL","61754","13.04","0.12","-2.15","1"
"2016/01/01 00:00:00","DUNWOD","61760","25.79","0.95","-14.07","1"
"2016/01/01 00:00:00","GENESE","61753","12.45","-0.06","-1.75","1"
"2016/01/01 00:00:00","HUD VL","61758","25.64","0.94","-13.93","1"
"2016/01/01 00:00:00","LONGIL","61762","27.7","1.4","-15.54","1"
"2016/01/01 00:00:00","MHK VL","61756","13.53","0.25","-2.51","1"
"2016/01/01 00:00:00","MILLWD","61759","25.9","0.97","-14.16","1"
"2016/01/01 00:00:00","N.Y.C.","61761","25.84","0.99","-14.08","1"
"2016/01/01 00:00:00","NORTH","61755","10.27","-0.5","0","1"
"2016/01/01 00:00:00","WEST","61752","12.98","-0.05","-2.26","1"
"2016/01/01 01:00:00","CAPITL","61757","25.35","0.63","-14.52","1"
"2016/01/01 01:00:00","CENTRL","61754","11.97","0.1","-1.67","1"
"2016/01/01 01:00:00","DUNWOD","61760","22.04","0.94","-10.9","1"
"2016/01/01 01:00:00","GENESE","61753","11.37","-0.18","-1.36","1"
"2016/01/01 01:00:00","HUD VL","61758","21.91","0.92","-10.79","1"
"2016/01/01 01:00:00","LONGIL","61762","23.6","1.39","-12.01","1"
"2016/01/01 01:00:00","MHK VL","61756","12.37","0.22","-1.95","1"
"2016/01/01 01:00:00","MILLWD","61759","22.13","0.96","-10.97","1"
"2016/01/01 01:00:00","N.Y.C.","61761","22.1","0.99","-10.91","1"
"2016/01/01 01:00:00","NORTH","61755","9.72","-0.48","0","1"
"2016/01/01 01:00:00","WEST","61752","11.94","-0.02","-1.75","1"
"2016/01/01 02:00:00","CAPITL","61757","21.12","0.61","-11.05","1"
"2016/01/01 02:00:00","CENTRL","61754","10.83","0.1","-1.27","1"
"2016/01/01 02:00:00","DUNWOD","61760","18.61","0.85","-8.3","1"
"2016/01/01 02:00:00","GENESE","61753","10.34","-0.14","-1.03","1"
"2016/01/01 02:00:00","HUD VL","61758","18.51","0.84","-8.22","1"
